trade_id,direction,entry_time,exit_time,entry_price,exit_price,net_pnl_usdt,net_pnl_pct,mfe_usdt,mfe_pct,mae_usdt,mae_pct,outcome,pnl_r,mae_r,mfe_r,duration_bars,duration_hours,adx_at_entry,ema8_above_ema13,ema8_cross_recent,body_ratio,stoch_k_at_entry,pullback_dist_atr,atr_at_entry,htf_bias,bar_in_ohlcv,risk_est_pct,mae_r_norm,mfe_r_norm,pnl_r_norm
1,Long,2026-03-01 13:00:00+00:00,2026-03-01 13:45:00+00:00,66913.7,66030.0,-1.389,-1.39,0.211,0.21,-1.354,1.36,sl,-1.0220588235294117,1.0,0.15441176470588233,3,0.8,25.341771979839045,False,False,0.05779010633376816,65.17776391696644,1.0708514637953934,233.1016857915555,1,True,0.93,1.0,0.15441176470588233,-1.0220588235294117
2,Short,2026-03-01 18:45:00+00:00,2026-03-01 19:00:00+00:00,65628.2,66701.3,-1.681,-1.71,0.195,0.2,-1.646,1.67,sl,-1.0239520958083832,1.0,0.11976047904191618,1,0.2,24.256780110321653,False,False,0.2830687830686333,39.26165520569164,0.4839301039296073,321.1960587893111,-1,True,0.93,1.0,0.11976047904191618,-1.0239520958083832
3,Long,2026-03-02 01:45:00+00:00,2026-03-02 04:00:00+00:00,66831.1,65768.8,-1.607,-1.66,0.138,0.14,-1.573,1.62,sl,-1.0246913580246912,1.0,0.08641975308641976,9,2.2,32.101645537605286,True,False,0.20221169036331757,73.57151268253868,0.9007455043772458,406.99204640745023,1,True,0.93,1.0,0.08641975308641976,-1.0246913580246912
4,Long,2026-03-05 08:45:00+00:00,2026-03-05 12:00:00+00:00,72883.2,71638.3,-1.693,-1.78,0.185,0.19,-1.66,1.74,sl,-1.0229885057471264,1.0,0.10919540229885058,13,3.2,19.626395430742747,False,False,0.5652853792022973,48.502513166002906,0.05399957006020047,314.3620306202418,1,True,0.93,1.0,0.10919540229885058,-1.0229885057471264
5,Short,2026-03-07 02:45:00+00:00,2026-03-08 19:00:00+00:00,67988.0,66423.4,2.088,2.23,2.12,2.27,-0.328,0.35,tp,6.371428571428572,1.0,6.485714285714286,161,40.2,21.78210996479007,True,False,0.8558225508314071,46.938485989507136,0.5894366813584043,171.83339484470858,-1,True,0.93,1.0,6.485714285714286,6.371428571428572
6,Short,2026-03-08 21:15:00+00:00,2026-03-08 21:30:00+00:00,66139.0,66627.4,-0.773,-0.81,0.0,0.0,-0.74,0.77,sl,-1.051948051948052,1.0,0.0,1,0.2,23.474034238361913,False,True,0.7333333333330074,41.49033058384344,0.5980252223816775,257.96392281084815,-1,True,0.93,1.0,0.0,-1.051948051948052
7,Long,2026-03-09 17:00:00+00:00,2026-03-10 11:45:00+00:00,68961.7,71265.2,3.102,3.27,3.136,3.3,-0.888,0.94,tp,3.4787234042553195,1.0,3.5106382978723403,75,18.8,32.38284578252199,True,False,0.15351711026610482,17.612303134752175,0.6349563402676855,348.79758734787026,1,True,0.93,1.0,3.5106382978723403,3.4787234042553195
8,Long,2026-03-11 12:15:00+00:00,2026-03-13 11:15:00+00:00,70160.7,73754.7,4.947,5.05,4.983,5.09,-1.421,1.45,tp,3.4827586206896552,1.0,3.510344827586207,188,47.0,14.728821626761507,False,False,0.9387543252591505,23.536653445376402,0.3642697711149185,222.01461014163098,1,True,0.93,1.0,3.510344827586207,3.4827586206896552
9,Long,2026-03-14 11:15:00+00:00,2026-03-14 12:00:00+00:00,70780.3,70529.0,-0.437,-0.42,0.0,0.0,-0.401,0.39,sl,-1.0769230769230769,1.0,0.0,3,0.8,34.210406319253885,False,False,0.06675392670155186,90.16914303563264,0.13342107641151216,147.03826036446648,1,True,0.93,1.0,0.0,-1.0769230769230769
10,Long,2026-03-15 15:15:00+00:00,2026-03-15 19:45:00+00:00,71694.0,72945.0,1.715,1.67,1.752,1.71,-0.628,0.61,tp,2.737704918032787,1.0,2.80327868852459,18,4.5,23.97143203363322,False,False,0.44688874921407,39.86140226923876,0.6591058792446708,163.58090945987823,1,True,0.93,1.0,2.80327868852459,2.737704918032787
